,Eastings,Northings,TVD,Azimuth[rad],Inclination[rad]
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,32.8084,0.0,0.0
2,0.0,0.0,65.6168,0.0,0.0
3,0.0,0.0,98.4252,0.0,0.0
4,0.0,0.0,131.2336,0.0,0.0
5,0.0,0.0,164.042,0.0,0.0
6,0.0,0.0,196.8504,0.0,0.0
7,0.0,0.0,229.65879999999999,0.0,0.0
8,0.0,0.0,262.4672,0.0,0.0
9,0.0,0.0,295.2756,0.0,0.0
10,0.0,0.0,328.084,0.0,0.0
11,0.0,0.0,360.8924,0.0,0.0
12,0.0,0.0,393.7008,0.0,0.0
13,0.0,0.0,426.5092,0.0,0.0
14,0.0,0.0,459.31759999999997,0.0,0.0
15,0.0,0.0,492.126,0.0,0.0
16,0.0,0.0,524.9344,0.0,0.0
17,0.0,0.0,557.7428,0.0,0.0
18,0.0,0.0,590.5512,0.0,0.0
19,0.0,0.0,623.3596,0.0,0.0
20,0.0,0.0,656.168,0.0,0.0
21,0.0,0.0,688.9764,0.0,0.0
22,0.0,0.0,721.7848,0.0,0.0
23,0.0,0.0,754.5932,0.0,0.0
24,0.0,0.0,787.4016,0.0,0.0
25,0.0,0.0,820.21,0.0,0.0
26,0.0,0.0,853.0184,0.0,0.0
27,0.0,0.0,885.8268,0.0,0.0
28,0.0,0.0,918.6351999999999,0.0,0.0
29,0.0,0.0,951.4436,0.0,0.0
30,0.0,0.0,984.252,0.0,0.0
31,0.08755261884630322,0.05054701622783755,1017.0604,0.5235858247352374,0.003081405379084841
32,0.35101256518805607,0.20265120997616198,1049.8688,0.5235860301342007,0.009272210320401318
33,0.7915829737295232,0.45700729884219093,1082.6772,0.5235862546333223,0.015504640431238212
34,1.4104669791749698,0.8143100004231422,1115.4856,0.5235864805251589,0.02177819213762763
35,2.2088677162286596,1.2752540323162334,1148.294,0.5235867058553205,0.028092342421133832
36,3.187988319594859,1.840534112118682,1181.1024,0.5235869301020645,0.03444654876126394
37,4.349031923977831,2.5108449574277056,1213.9107999999999,0.5235871530741475,0.04084024910009242
38,5.693201664081842,3.286881285840522,1246.7192,0.5235873746903617,0.04727286182981391
39,7.2217006746111565,4.169337814954351,1279.5276,0.5235875949146945,0.053743785803904966
40,8.935732090270037,5.158909262366405,1312.336,0.5235878137324336,0.06025240037253953
41,10.836499045762752,6.256290345673906,1345.1444,0.523588031139937,0.06679806544286339
42,12.92520467579356,7.4621757824740715,1377.9528,0.5235882471397344,0.07338012156468694
43,15.203052115066736,8.777260290364117,1410.7612,0.5235884617379825,0.07999789004211304
44,17.671244498286534,10.202238586941263,1443.5696,0.5235886749430606,0.08665067307156057
45,20.33098496015723,11.737805389802723,1476.378,0.5235888867647326,0.09333775390659604
46,23.183476635383077,13.38465541654572,1509.1864,0.5235890972136558,0.1000583970499231
47,26.229922658668347,15.143483384767466,1541.9948,0.5235893063010448,0.10681184847282577
48,29.471526164717304,17.014984012065185,1574.8032,0.5235895140384759,0.11359733586229054
49,32.9094902882342,18.999852016036087,1607.6116,0.5235897204377367,0.12041406889597375
50,36.545018163923324,21.098782114277398,1640.42,0.5235899255107345,0.127261239545109
51,40.37931292648893,23.31246902438633,1673.2284,0.5235901292694262,0.13413802240537404
52,44.41357771063527,25.641607463960103,1706.0368,0.5235903317257719,0.14104357505567405
53,48.64901565106663,28.08689215059593,1738.8452,0.5235905328916985,0.14797703844471316
54,53.086829882487265,30.64901780189104,1771.6536,0.5235907327790786,0.15493753730515472
55,57.728223539601444,33.328679135442634,1804.462,0.5235909313997033,0.16192418059508915
56,62.574399757113405,36.12657086884795,1837.2703999999999,0.5235911287652846,0.16893606196646066
57,67.62656166972745,39.043387719704185,1870.0788,0.5235913248874221,0.1759722602600055
58,72.88591241214782,42.079824405608576,1902.8872,0.5235915197776221,0.18303184002619205
59,78.35365511907881,45.23657564415832,1935.6956,0.5235917134472673,0.19011385207156795
60,84.03099292522465,48.51433615295065,1968.504,0.52359190590764,0.19721733402983513
61,89.9191289652896,51.913800649582775,2001.3124,0.5235920971698891,0.20434131095690647
62,96.01926637397796,55.435663851651924,2034.1208,0.5235922872450537,0.21148479594910696
63,102.33260828599398,59.08062047675531,2066.9292,0.5235924761440466,0.2186467907836185
64,108.86035783604191,62.84936524249014,2099.7376,0.5235926638776643,0.2258262865801902
65,115.60371815882606,66.74259286645363,2132.546,0.5235928504565754,0.23302226448306468
66,122.56389238905064,70.76099806624303,2165.3544,0.5235930358913373,0.24023369636199554
67,129.7420836614199,74.90527555945552,2198.1628,0.5235932201923769,0.24745954553118335
68,137.1394951106382,79.17612006368834,2230.9712,0.5235934033700044,0.2546987674848842
69,144.7573298714097,83.5742262965387,2263.7796,0.523593585434415,0.26195031064836477
70,152.59679107843874,88.10028897560382,2296.588,0.5235937663956797,0.2692131171428949
71,160.65908186642955,92.75500281848092,2329.3964,0.5235939462637571,0.2764861235633124
72,168.94540537008638,97.5390625427672,2362.2048,0.5235941250484881,0.2837682617667633
73,177.45696472411356,102.4531628660599,2395.0132,0.5235943027595971,0.29105845967108646
74,186.19496306321525,107.49799850595623,2427.8215999999998,0.5235944794067047,0.2983556420613326
75,195.16060352209584,112.67426418005341,2460.63,0.5235946549993019,0.30565873140288163
76,204.35508923545947,117.98265460594861,2493.4384,0.5235948295467863,0.3129666486595242
77,213.77962333801048,123.42386450123915,2526.2468,0.5235950030584435,0.3202783141149894
78,223.43540896445313,128.99858858352218,2559.0552,0.5235951755434394,0.3275926481962283
